N,agent,mode,tau,K,seed,accept_rate,offers_seen_mean,wall_ms_mean,w_hat
200,satisficer,band,5,,1003,0.27149305555555553,2777.816302083333,0.25077934027777776,0.36694862500000003
200,satisficer,band,5,,1004,0.2775347222222222,2747.026493055555,0.26040717013888887,0.39733071527777775
200,satisficer,band,10,,1000,0.27295138888888887,1903.7482118055557,0.1773172222222222,0.38662128124999995
200,satisficer,band,10,,1001,0.2751909722222222,1843.8292881944444,0.17567307291666664,0.3798826041666667
200,satisficer,band,10,,1002,0.2759375,1975.4982986111113,0.18341237847222225,0.38725053125000003
200,satisficer,band,10,,1003,0.27368055555555554,1989.0289409722225,0.18444178819444446,0.36629659375
200,satisficer,band,10,,1004,0.2780902777777778,1859.8424305555557,0.17361467013888887,0.3945107013888889
200,satisficer,band,20,,1000,0.27194444444444443,633.5130034722222,0.06724583333333334,0.37595692708333334
200,satisficer,band,20,,1001,0.27515625,658.1683159722222,0.06955526041666667,0.3710483958333334
200,satisficer,band,20,,1002,0.2765625,716.3484375,0.07371,0.3773876597222222
200,satisficer,band,20,,1003,0.27428819444444447,744.0565798611111,0.07630897569444445,0.3555619479166666
200,satisficer,band,20,,1004,0.2772048611111111,614.4873958333334,0.06424361111111111,0.3807018472222222
500,satisficer,band,1,,1000,0.2690763888888889,8475.806986111113,0.9403188333333332,0.40704300000000004
500,satisficer,band,1,,1001,0.27134722222222224,8272.602145833333,0.9069315694444444,0.40447395833333327
500,satisficer,band,1,,1002,0.2723263888888889,8433.647875,0.9271634444444445,0.39664156944444445
500,satisficer,band,1,,1003,0.2682986111111111,8109.698305555556,0.8984379513888889,0.373397625
500,satisficer,band,1,,1004,0.27336805555555554,8349.42642361111,0.9054372916666666,0.39850282291666667
500,satisficer,band,5,,1000,0.2724375,6959.108236111111,0.778722361111111,0.40684375347222224
500,satisficer,band,5,,1001,0.27486805555555555,6808.542263888889,0.7537524583333334,0.40419136111111115
500,satisficer,band,5,,1002,0.27739583333333334,7127.272270833334,0.7926266111111111,0.39682371875
500,satisficer,band,5,,1003,0.27395138888888887,6817.471631944444,0.7533182222222222,0.3731768541666666
500,satisficer,band,5,,1004,0.2779513888888889,6934.077618055555,0.7663679166666666,0.3975039201388889
500,satisficer,band,10,,1000,0.27352777777777776,4820.516819444444,0.5364544861111111,0.40568741319444446
500,satisficer,band,10,,1001,0.27591666666666664,4718.457729166667,0.5222810277777779,0.40246140625
500,satisficer,band,10,,1002,0.27826388888888887,5044.596013888889,0.5599061180555556,0.39531256944444443
500,satisficer,band,10,,1003,0.2756458333333333,4824.499701388889,0.5477195625,0.3708463229166667
500,satisficer,band,10,,1004,0.27792361111111114,4740.363833333333,0.5321845902777778,0.3960841215277778
500,satisficer,band,20,,1000,0.2734375,1672.443465277778,0.20548435416666666,0.3962207361111111
500,satisficer,band,20,,1001,0.27618055555555554,1682.070840277778,0.201286875,0.3936594618055555
500,satisficer,band,20,,1002,0.27775,1798.6677430555555,0.21286211805555555,0.3868927881944445
500,satisficer,band,20,,1003,0.2755763888888889,1738.9078055555556,0.20627281249999999,0.3622536319444445
500,satisficer,band,20,,1004,0.27763194444444445,1610.236625,0.19153222916666668,0.3850227916666667
50,satisficer,k_search,,1,1000,0.2658333333333333,0.2821527777777778,0.0037369444444444438,0.13931859375
50,satisficer,k_search,,1,1001,0.27923611111111113,0.311875,0.0032425694444444438,0.17032853819444446
50,satisficer,k_search,,1,1002,0.2797222222222222,0.2956944444444444,0.0032727083333333328,0.13308081597222224
50,satisficer,k_search,,1,1003,0.2734027777777778,0.2902777777777778,0.003312083333333334,0.15396647569444444
50,satisficer,k_search,,1,1004,0.2760416666666667,0.29659722222222223,0.003298402777777778,0.1521028541666667
50,satisficer,k_search,,3,1000,0.2658333333333333,0.8446527777777777,0.003802638888888889,0.13931859375
50,satisficer,k_search,,3,1001,0.27923611111111113,0.9315972222222223,0.0034299305555555554,0.17032853819444446
50,satisficer,k_search,,3,1002,0.2797222222222222,0.8854861111111112,0.003625694444444444,0.13308081597222224
50,satisficer,k_search,,3,1003,0.2734027777777778,0.8681944444444444,0.0034246527777777773,0.15396647569444444
50,satisficer,k_search,,3,1004,0.2760416666666667,0.8883333333333334,0.0036825,0.1521028541666667
50,satisficer,k_search,,5,1000,0.2658333333333333,1.4027083333333334,0.003906597222222222,0.13931859375
50,satisficer,k_search,,5,1001,0.27923611111111113,1.5459027777777776,0.0034393750000000006,0.17032853819444446
50,satisficer,k_search,,5,1002,0.2797222222222222,1.4683333333333335,0.0038506944444444448,0.13308081597222224
50,satisficer,k_search,,5,1003,0.2734027777777778,1.4420833333333332,0.003751875,0.15396647569444444
50,satisficer,k_search,,5,1004,0.2760416666666667,1.4749305555555556,0.0035781944444444446,0.1521028541666667
100,satisficer,k_search,,1,1000,0.26774305555555555,0.28041666666666665,0.006559270833333334,0.1519988090277778
100,satisficer,k_search,,1,1001,0.2735416666666667,0.29854166666666665,0.006916006944444445,0.17280027083333332
100,satisficer,k_search,,1,1002,0.275625,0.2947916666666666,0.006373506944444445,0.16066331944444445
100,satisficer,k_search,,1,1003,0.27024305555555556,0.2913541666666667,0.006684027777777779,0.17510276041666667
100,satisficer,k_search,,1,1004,0.2794097222222222,0.3069444444444444,0.006306597222222222,0.1903719861111111
100,satisficer,k_search,,3,1000,0.26774305555555555,0.8392708333333334,0.006815763888888887,0.1519988090277778
100,satisficer,k_search,,3,1001,0.2735416666666667,0.8929166666666668,0.006626006944444444,0.17280027083333332
100,satisficer,k_search,,3,1002,0.275625,0.8837499999999998,0.006574930555555557,0.16066331944444445
100,satisficer,k_search,,3,1003,0.27024305555555556,0.8718749999999998,0.00638,0.17510276041666667
100,satisficer,k_search,,3,1004,0.2794097222222222,0.9183333333333333,0.006442118055555554,0.1903719861111111
100,satisficer,k_search,,5,1000,0.26774305555555555,1.3959722222222224,0.006482812500000001,0.1519988090277778
