N,agent,mode,tau,K,seed,w_hat,W,wall_ms,offers_seen,solver_calls,label
200,satisficer,k_greedy,,3,1001,0.5104166666666666,20.405971184027777,0.008255329861111112,0.9192708333333335,0.0,call
200,satisficer,k_greedy,,3,1002,0.5451388888888888,21.7703315,0.008444288194444444,0.8647048611111111,0.0,call
200,satisficer,k_greedy,,3,1003,0.5138888888888888,20.676253736111114,0.008070052083333334,0.8920659722222223,0.0,call
200,satisficer,k_greedy,,3,1004,0.5694444444444444,21.266282194444443,0.008545625,0.9778125,0.0,call
200,satisficer,k_greedy,,5,1000,0.5694444444444444,25.517297,0.008519409722222222,1.29703125,0.0,call
200,satisficer,k_greedy,,5,1001,0.6111111111111112,26.680550322916663,0.00876375,1.3278819444444445,0.0,call
200,satisficer,k_greedy,,5,1002,0.6458333333333334,28.468086822916664,0.009087708333333333,1.3103819444444447,0.0,call
200,satisficer,k_greedy,,5,1003,0.6319444444444444,27.02925184375,0.008494270833333333,1.3752777777777778,0.0,call
200,satisficer,k_greedy,,5,1004,0.6423611111111112,26.370018614583334,0.009056649305555555,1.3470486111111115,0.0,call
500,satisficer,k_greedy,,1,1000,0.4097222222222222,18.451130625,0.03171364583333333,0.3040486111111111,0.0,call
500,satisficer,k_greedy,,1,1001,0.4097222222222222,16.56536665625,0.03308299305555556,0.3025486111111111,0.0,call
500,satisficer,k_greedy,,1,1002,0.3993055555555556,18.99875556597222,0.03180373611111111,0.30690277777777775,0.0,call
500,satisficer,k_greedy,,1,1003,0.3784722222222222,16.23280634375,0.03217821527777778,0.30579861111111106,0.0,call
500,satisficer,k_greedy,,1,1004,0.4027777777777778,17.950779527777776,0.03215174305555556,0.3101736111111111,0.0,call
500,satisficer,k_greedy,,3,1000,0.53125,52.88151985416667,0.019262791666666664,0.9095277777777778,0.0,call
500,satisficer,k_greedy,,3,1001,0.5347222222222222,50.33165799305555,0.019735847222222224,0.9015208333333332,0.0,call
500,satisficer,k_greedy,,3,1002,0.5555555555555556,55.139509045138894,0.020039777777777778,0.9090416666666667,0.0,call
500,satisficer,k_greedy,,3,1003,0.5104166666666666,48.23839276388889,0.019642201388888888,0.8905416666666668,0.0,call
