N,agent,mode,tau,K,seed,w_hat,W,wall_ms,offers_seen,solver_calls,label
50,satisficer,band,20,,1002,0.36944823958333334,0.5288946076388888,0.020564930555555555,198.64715277777782,0.0,band
50,satisficer,band,20,,1003,0.3505749166666667,0.5326713541666667,0.021788680555555558,213.90381944444448,0.0,band
50,satisficer,band,20,,1004,0.36226536805555554,0.4785503993055556,0.016082708333333334,152.64333333333332,0.0,band
100,satisficer,band,1,,1000,0.3458194340277778,4.304898409722223,0.15880378472222223,1722.4177777777782,0.0,band
100,satisficer,band,1,,1001,0.38320554166666665,4.80382671875,0.14784805555555558,1641.0155555555557,0.0,band
100,satisficer,band,1,,1002,0.38767006944444443,4.905019788194445,0.15107260416666668,1668.5664583333335,0.0,band
100,satisficer,band,1,,1003,0.3602857604166667,5.003548607638889,0.14767909722222225,1643.298333333333,0.0,band
100,satisficer,band,1,,1004,0.3756005069444444,4.767759434027777,0.1448059027777778,1604.2867013888888,0.0,band
100,satisficer,band,5,,1000,0.34562377083333334,3.208941638888889,0.13173500000000002,1446.4300000000003,0.0,band
100,satisficer,band,5,,1001,0.38386601388888886,3.5398152118055553,0.12661784722222225,1391.0382986111113,0.0,band
100,satisficer,band,5,,1002,0.3888309479166667,3.6098148611111105,0.1325484027777778,1439.000694444444,0.0,band
100,satisficer,band,5,,1003,0.36069983333333333,3.6661438125,0.1298697222222222,1425.502673611111,0.0,band
100,satisficer,band,5,,1004,0.37622462152777775,3.3558085381944447,0.1269048611111111,1391.0162847222225,0.0,band
100,satisficer,band,10,,1000,0.34433103125000003,2.21864065625,0.09269833333333333,993.0886805555555,0.0,band
100,satisficer,band,10,,1001,0.38264203472222225,2.4531924166666665,0.0902211111111111,971.3043749999998,0.0,band
100,satisficer,band,10,,1002,0.3873610173611111,2.412129701388889,0.09537822916666663,1027.304097222222,0.0,band
100,satisficer,band,10,,1003,0.35975968055555557,2.507252659722222,0.09591965277777778,1035.019722222222,0.0,band
100,satisficer,band,10,,1004,0.37260542708333333,2.261113885416667,0.08942854166666667,956.3913541666667,0.0,band
100,satisficer,band,20,,1000,0.3351148125,0.846008579861111,0.033601840277777774,314.87305555555554,0.0,band
100,satisficer,band,20,,1001,0.36966878124999997,1.0899778263888888,0.038144166666666666,343.2392361111111,0.0,band
100,satisficer,band,20,,1002,0.3746909236111111,0.98791890625,0.03764215277777778,362.9585763888889,0.0,band
100,satisficer,band,20,,1003,0.3482373854166667,1.0548920833333333,0.041043506944444454,402.6978819444445,0.0,band
100,satisficer,band,20,,1004,0.3612694618055555,0.9705066493055556,0.03356350694444444,321.06378472222224,0.0,band
200,satisficer,band,1,,1000,0.38936724652777777,8.779849128472222,0.3013551388888889,3327.6765798611113,0.0,band
200,satisficer,band,1,,1001,0.38318206944444444,8.813477416666665,0.29898854166666666,3266.444114583334,0.0,band
200,satisficer,band,1,,1002,0.38742220138888883,9.926636315972223,0.2893353993055555,3216.77890625,0.0,band
200,satisficer,band,1,,1003,0.36728256944444443,9.480448187499999,0.30159765625,3270.397118055555,0.0,band
200,satisficer,band,1,,1004,0.39812911805555556,8.444070576388889,0.3016973958333333,3343.780052083334,0.0,band
200,satisficer,band,5,,1000,0.3884897951388889,6.469027836805555,0.2527665277777778,2776.4575694444443,0.0,band
200,satisficer,band,5,,1001,0.3816917048611111,6.690134506944445,0.24351081597222224,2677.168993055556,0.0,band
200,satisficer,band,5,,1002,0.3888575833333333,7.276251381944444,0.2531630381944444,2762.057864583334,0.0,band
200,satisficer,band,5,,1003,0.36694862500000003,7.1283774791666685,0.25077934027777776,2777.816302083333,0.0,band
200,satisficer,band,5,,1004,0.39733071527777775,6.279910913194445,0.26040717013888887,2747.026493055555,0.0,band
200,satisficer,band,10,,1000,0.38662128124999995,4.43425265625,0.1773172222222222,1903.7482118055557,0.0,band
200,satisficer,band,10,,1001,0.3798826041666667,4.6649452743055555,0.17567307291666664,1843.8292881944444,0.0,band
200,satisficer,band,10,,1002,0.38725053125000003,4.86923590625,0.18341237847222225,1975.4982986111113,0.0,band
200,satisficer,band,10,,1003,0.36629659375,4.866107875000001,0.18444178819444446,1989.0289409722225,0.0,band
200,satisficer,band,10,,1004,0.3945107013888889,4.269010218750001,0.17361467013888887,1859.8424305555557,0.0,band
200,satisficer,band,20,,1000,0.37595692708333334,1.7633667743055554,0.06724583333333334,633.5130034722222,0.0,band
200,satisficer,band,20,,1001,0.3710483958333334,2.0988892430555555,0.06955526041666667,658.1683159722222,0.0,band
200,satisficer,band,20,,1002,0.3773876597222222,2.0069066388888888,0.07371,716.3484375,0.0,band
200,satisficer,band,20,,1003,0.3555619479166666,2.0526694791666666,0.07630897569444445,744.0565798611111,0.0,band
200,satisficer,band,20,,1004,0.3807018472222222,1.8466289583333335,0.06424361111111111,614.4873958333334,0.0,band
500,satisficer,band,1,,1000,0.40704300000000004,21.6110614375,0.9403188333333332,8475.806986111113,0.0,band
500,satisficer,band,1,,1001,0.40447395833333327,21.89831620833333,0.9069315694444444,8272.602145833333,0.0,band
500,satisficer,band,1,,1002,0.39664156944444445,23.613114795138888,0.9271634444444445,8433.647875,0.0,band
500,satisficer,band,1,,1003,0.373397625,23.134502430555553,0.8984379513888889,8109.698305555556,0.0,band
500,satisficer,band,1,,1004,0.39850282291666667,22.06851580208333,0.9054372916666666,8349.42642361111,0.0,band
500,satisficer,band,5,,1000,0.40684375347222224,16.627531913194446,0.778722361111111,6959.108236111111,0.0,band
500,satisficer,band,5,,1001,0.40419136111111115,16.555719961805558,0.7537524583333334,6808.542263888889,0.0,band
500,satisficer,band,5,,1002,0.39682371875,17.562811083333333,0.7926266111111111,7127.272270833334,0.0,band
500,satisficer,band,5,,1003,0.3731768541666666,17.3618045625,0.7533182222222222,6817.471631944444,0.0,band
500,satisficer,band,5,,1004,0.3975039201388889,16.369001399305557,0.7663679166666666,6934.077618055555,0.0,band
500,satisficer,band,10,,1000,0.40568741319444446,11.470151784722223,0.5364544861111111,4820.516819444444,0.0,band
500,satisficer,band,10,,1001,0.40246140625,11.51755654513889,0.5222810277777779,4718.457729166667,0.0,band
500,satisficer,band,10,,1002,0.39531256944444443,12.05016590625,0.5599061180555556,5044.596013888889,0.0,band
500,satisficer,band,10,,1003,0.3708463229166667,11.80712434722222,0.5477195625,4824.499701388889,0.0,band
500,satisficer,band,10,,1004,0.3960841215277778,11.1452851875,0.5321845902777778,4740.363833333333,0.0,band
500,satisficer,band,20,,1000,0.3962207361111111,4.789458770833333,0.20548435416666666,1672.443465277778,0.0,band
500,satisficer,band,20,,1001,0.3936594618055555,5.011412173611111,0.201286875,1682.070840277778,0.0,band
500,satisficer,band,20,,1002,0.3868927881944445,5.144061795138889,0.21286211805555555,1798.6677430555555,0.0,band
500,satisficer,band,20,,1003,0.3622536319444445,4.939597857638889,0.20627281249999999,1738.9078055555556,0.0,band
500,satisficer,band,20,,1004,0.3850227916666667,4.750179010416667,0.19153222916666668,1610.236625,0.0,band
50,satisficer,k_search,,1,1000,0.13931859375,0.15178123611111113,0.0037369444444444438,0.2821527777777778,0.0,k_search
50,satisficer,k_search,,1,1001,0.17032853819444446,0.26608621875,0.0032425694444444438,0.311875,0.0,k_search
50,satisficer,k_search,,1,1002,0.13308081597222224,0.16044229166666668,0.0032727083333333328,0.2956944444444444,0.0,k_search
50,satisficer,k_search,,1,1003,0.15396647569444444,0.13391409374999996,0.003312083333333334,0.2902777777777778,0.0,k_search
50,satisficer,k_search,,1,1004,0.1521028541666667,0.21890945833333333,0.003298402777777778,0.29659722222222223,0.0,k_search
50,satisficer,k_search,,3,1000,0.13931859375,0.15178123611111113,0.003802638888888889,0.8446527777777777,0.0,k_search
50,satisficer,k_search,,3,1001,0.17032853819444446,0.26608621875,0.0034299305555555554,0.9315972222222223,0.0,k_search
50,satisficer,k_search,,3,1002,0.13308081597222224,0.16044229166666668,0.003625694444444444,0.8854861111111112,0.0,k_search
50,satisficer,k_search,,3,1003,0.15396647569444444,0.13391409374999996,0.0034246527777777773,0.8681944444444444,0.0,k_search
50,satisficer,k_search,,3,1004,0.1521028541666667,0.21890945833333333,0.0036825,0.8883333333333334,0.0,k_search
50,satisficer,k_search,,5,1000,0.13931859375,0.15178123611111113,0.003906597222222222,1.4027083333333334,0.0,k_search
